"Date
[note 1]",Weekday,Cars,Light Commercial Vehicles,Heavy Goods Vehicles,All motor vehicles,National Rail,Transport for London Tube,Transport for London Bus,Bus (excluding London),Cycling,Revised,Notes by day
09-Apr-21,Fri,0.76,0.92,1.04,0.80,0.27,0.27,0.48,0.34,0.77,[z],[z]
10-Apr-21,Sat,0.79,0.99,1.16,0.83,0.27,0.25,0.45,0.34,1.13,[z],[z]
11-Apr-21,Sun,0.81,1.02,1.14,0.85,0.27,0.29,0.46,0.38,1.42,[z],[z]
12-Apr-21,Mon,0.86,1.05,1.06,0.91,0.28,0.36,0.60,0.51,0.80,[z],[z]
13-Apr-21,Tue,0.83,1.01,1.05,0.88,0.29,0.33,0.59,0.52,0.88,[z],[z]
14-Apr-21,Wed,0.84,1.01,1.06,0.89,0.30,0.34,0.57,0.49,1.08,[z],[z]
15-Apr-21,Thu,0.84,1.00,1.04,0.88,0.32,0.34,0.52,0.51,1.01,[z],[z]
16-Apr-21,Fri,0.88,1.01,1.04,0.92,0.34,0.37,0.57,0.51,0.88,[z],[z]
17-Apr-21,Sat,0.94,1.11,1.12,0.98,0.36,0.44,0.59,0.52,1.52,[z],[z]
18-Apr-21,Sun,0.94,1.16,1.18,0.99,0.37,0.42,0.58,0.54,1.55,[z],[z]
19-Apr-21,Mon,0.88,1.06,1.07,0.93,0.38,0.34,0.67,0.59,0.94,[z],[z]
20-Apr-21,Tue,0.86,1.04,1.06,0.91,0.39,0.39,0.63,0.61,0.95,[z],[z]
21-Apr-21,Wed,0.86,1.03,1.07,0.90,0.36,0.35,0.60,0.57,1.05,[z],[z]
22-Apr-21,Thu,0.87,1.01,1.06,0.91,0.35,0.36,0.59,0.60,1.24,[z],[z]
23-Apr-21,Fri,0.90,1.04,1.05,0.94,0.34,0.38,0.58,0.59,1.01,[z],[z]
24-Apr-21,Sat,0.96,1.12,1.14,0.99,0.34,0.47,0.60,0.56,1.62,[z],[z]
25-Apr-21,Sun,0.95,1.15,1.18,1.00,0.34,0.39,0.60,0.57,1.43,[z],[z]
26-Apr-21,Mon,0.88,1.07,1.08,0.94,0.33,0.35,0.59,0.61,0.86,[z],[z]
27-Apr-21,Tue,0.86,1.05,1.08,0.91,0.33,0.35,0.58,0.62,0.82,[z],[z]
28-Apr-21,Wed,0.86,1.05,1.08,0.91,0.36,0.35,0.57,0.58,0.83,[z],[z]
29-Apr-21,Thu,0.87,1.04,1.07,0.92,0.36,0.36,0.58,0.60,1.15,[z],[z]
30-Apr-21,Fri,0.93,1.07,1.07,0.96,0.37,0.39,0.60,0.61,0.89,[z],[z]
01-May-21,Sat,0.96,1.13,1.12,1.00,0.37,0.48,0.59,0.58,1.32,[z],[z]
02-May-21,Sun,0.96,1.14,1.03,1.00,0.37,0.45,0.56,0.63,1.40,[z],[z]
03-May-21,Mon (BH),0.72,0.66,0.42,0.68,0.38,0.49,0.60,0.54,0.49,[z],[note 8]
04-May-21,Tue,0.86,1.06,1.04,0.91,0.38,0.37,0.58,0.61,0.64,[z],[z]
05-May-21,Wed,0.87,1.05,1.08,0.91,0.37,0.36,0.60,0.60,1.04,[z],[z]
06-May-21,Thu,0.87,1.03,1.08,0.91,0.39,0.37,0.59,0.60,1.14,[z],[z]
07-May-21,Fri,0.91,1.05,1.08,0.95,0.41,0.40,0.60,0.61,1.06,[z],[z]
08-May-21,Sat,0.84,1.03,1.12,0.88,0.40,0.41,0.54,0.44,0.62,[z],[z]
09-May-21,Sun,0.92,1.13,1.19,0.96,0.40,0.48,0.58,0.60,1.46,[z],[z]
10-May-21,Mon,0.88,1.08,1.10,0.93,0.39,0.37,0.60,0.61,0.79,[z],[z]
11-May-21,Tue,0.87,1.06,1.08,0.92,0.38,0.38,0.60,0.64,0.83,[z],[z]
12-May-21,Wed,0.88,1.06,1.08,0.92,0.40,0.38,0.60,0.60,1.12,[z],[z]
13-May-21,Thu,0.86,1.03,1.06,0.91,0.37,0.37,0.56,0.60,0.92,[z],[z]
14-May-21,Fri,0.91,1.06,1.06,0.95,0.37,0.40,0.60,0.60,1.01,[z],[z]
15-May-21,Sat,0.93,1.12,1.13,0.96,0.38,0.47,0.59,0.54,0.94,[z],[z]
16-May-21,Sun,0.93,1.14,1.20,0.97,0.38,0.40,0.58,0.58,1.07,[z],[z]
17-May-21,Mon,0.91,1.10,1.09,0.96,0.38,0.41,0.61,0.63,0.80,[z],[z]
18-May-21,Tue,0.90,1.07,1.07,0.94,0.39,0.41,0.61,0.66,0.79,[z],[z]
19-May-21,Wed,0.91,1.08,1.08,0.95,0.37,0.43,0.62,0.63,0.96,[z],[z]
20-May-21,Thu,0.89,1.05,1.06,0.93,0.41,0.44,0.62,0.61,0.87,[z],[z]
21-May-21,Fri,0.93,1.07,1.05,0.97,0.42,0.47,0.63,0.59,0.60,[z],[z]
22-May-21,Sat,0.98,1.16,1.16,1.02,0.42,0.61,0.64,0.62,1.14,[z],[z]
23-May-21,Sun,0.99,1.19,1.21,1.03,0.43,0.51,0.64,0.64,0.96,[z],[z]
24-May-21,Mon,0.92,1.11,1.09,0.97,0.43,0.41,0.61,0.62,0.67,[z],[z]
25-May-21,Tue,0.89,1.07,1.07,0.94,0.43,0.45,0.71,0.65,0.71,[z],[z]
26-May-21,Wed,0.91,1.08,1.08,0.95,0.44,0.45,0.71,0.62,1.04,[z],[z]
27-May-21,Thu,0.94,1.08,1.07,0.98,0.45,0.47,0.71,0.65,1.28,[z],[z]
28-May-21,Fri,1.01,1.13,1.07,1.04,0.44,0.49,0.71,0.64,0.83,[z],[z]
29-May-21,Sat,1.06,1.22,1.18,1.09,0.45,0.64,0.70,0.66,1.33,[z],[z]
30-May-21,Sun,1.09,1.27,1.10,1.13,0.45,0.62,0.69,0.80,1.32,[z],[z]
31-May-21,Mon (BH),0.91,0.78,0.45,0.86,0.48,0.62,0.75,0.73,1.10,[z],[note 8]
01-Jun-21,Tue,0.96,1.09,1.03,0.99,0.49,0.45,0.57,0.58,0.87,[z],[z]
02-Jun-21,Wed,0.93,1.06,1.06,0.97,0.51,0.45,0.56,0.54,1.06,[z],[z]
03-Jun-21,Thu,0.93,1.05,1.05,0.96,0.51,0.46,0.55,0.55,1.06,[z],[z]
04-Jun-21,Fri,0.95,1.05,1.03,0.98,0.53,0.46,0.53,0.54,0.79,[z],[z]
05-Jun-21,Sat,1.05,1.21,1.22,1.09,0.52,0.56,0.70,0.65,1.47,[z],[z]
06-Jun-21,Sun,1.08,1.30,1.27,1.13,0.52,0.52,0.65,0.70,1.37,[z],[z]
07-Jun-21,Mon,0.95,1.11,1.09,0.99,0.49,0.42,0.65,0.63,0.95,[z],[z]
08-Jun-21,Tue,0.92,1.08,1.07,0.97,0.49,0.44,0.62,0.67,1.01,[z],[z]
09-Jun-21,Wed,0.92,1.09,1.08,0.97,0.47,0.45,0.63,0.63,1.21,[z],[z]
10-Jun-21,Thu,0.92,1.06,1.07,0.96,0.47,0.45,0.64,0.64,1.25,[z],[z]
11-Jun-21,Fri,0.98,1.10,1.07,1.01,0.47,0.47,0.64,0.63,0.89,[z],[z]
12-Jun-21,Sat,1.03,1.18,1.17,1.06,0.48,0.60,0.67,0.66,1.54,[z],[z]
13-Jun-21,Sun,1.07,1.26,1.25,1.11,0.48,0.61,0.68,0.75,1.53,[z],[z]
14-Jun-21,Mon,0.95,1.11,1.09,0.99,0.48,0.42,0.62,0.63,0.90,[z],[z]
15-Jun-21,Tue,0.93,1.09,1.08,0.97,0.49,0.43,0.63,0.67,1.01,[z],[z]
16-Jun-21,Wed,0.93,1.09,1.08,0.97,0.48,0.45,0.63,0.63,1.26,[z],[z]
17-Jun-21,Thu,0.92,1.06,1.07,0.96,0.48,0.45,0.61,0.63,1.01,[z],[z]
18-Jun-21,Fri,0.96,1.07,1.04,0.98,0.48,0.48,0.60,0.61,0.62,[z],[z]
19-Jun-21,Sat,1.02,1.18,1.16,1.05,0.47,0.54,0.64,0.65,1.59,[z],[z]
20-Jun-21,Sun,1.06,1.25,1.20,1.09,0.46,0.50,0.63,0.68,0.98,[z],[z]
21-Jun-21,Mon,0.93,1.09,1.08,0.97,0.46,0.43,0.61,0.61,0.68,[z],[z]
22-Jun-21,Tue,0.91,1.08,1.08,0.96,0.46,0.46,0.64,0.66,0.89,[z],[z]
23-Jun-21,Wed,0.92,1.08,1.09,0.96,0.47,0.46,0.64,0.62,1.23,[z],[z]
24-Jun-21,Thu,0.93,1.08,1.08,0.97,0.47,0.47,0.64,0.63,1.13,[z],[z]
25-Jun-21,Fri,0.98,1.10,1.06,1.01,0.46,0.49,0.64,0.61,0.83,[z],[z]
26-Jun-21,Sat,1.03,1.19,1.18,1.06,0.46,0.63,0.65,0.65,1.46,[z],[z]
27-Jun-21,Sun,1.06,1.29,1.30,1.10,0.47,0.52,0.62,0.70,1.10,[z],[z]
28-Jun-21,Mon,0.94,1.10,1.10,0.98,0.47,0.44,0.62,0.61,0.73,[z],[z]
29-Jun-21,Tue,0.90,1.05,1.07,0.94,0.47,0.42,0.62,0.63,0.83,[z],[z]
30-Jun-21,Wed,0.93,1.08,1.08,0.97,0.48,0.42,0.63,0.60,1.07,[z],[z]
01-Jul-21,Thu,0.94,1.08,1.07,0.98,0.49,0.42,0.64,0.62,1.31,[z],[z]
02-Jul-21,Fri,0.98,1.09,1.05,1.01,0.50,0.43,0.64,0.61,0.97,[z],[z]
03-Jul-21,Sat,0.99,1.15,1.13,1.02,0.49,0.47,0.66,0.61,1.04,[z],[z]
04-Jul-21,Sun,1.03,1.23,1.24,1.07,0.49,0.47,0.64,0.68,1.17,[z],[z]
05-Jul-21,Mon,0.93,1.10,1.08,0.98,0.49,0.41,0.63,0.60,0.88,[z],[z]
06-Jul-21,Tue,0.89,1.06,1.06,0.93,0.49,0.44,0.61,0.60,0.70,[z],[z]
07-Jul-21,Wed,0.89,1.04,1.06,0.93,0.47,0.45,0.65,0.59,0.96,[z],[z]
08-Jul-21,Thu,0.92,1.04,1.05,0.95,0.47,0.42,0.64,0.61,1.17,[z],[z]
09-Jul-21,Fri,0.97,1.08,1.05,1.00,0.46,0.44,0.65,0.60,0.90,[z],[z]
10-Jul-21,Sat,1.01,1.19,1.17,1.05,0.46,0.53,0.67,0.63,1.16,[z],[z]
11-Jul-21,Sun,1.03,1.23,1.22,1.07,0.47,0.66,0.74,0.71,1.41,[z],[z]
12-Jul-21,Mon,0.91,1.02,1.03,0.94,0.47,0.38,0.62,0.55,0.65,[z],[z]
13-Jul-21,Tue,0.90,1.06,1.06,0.95,0.46,0.40,0.65,0.62,0.89,[z],[z]
14-Jul-21,Wed,0.91,1.06,1.07,0.96,0.45,0.42,0.65,0.59,1.16,[z],[z]
15-Jul-21,Thu,0.92,1.05,1.06,0.96,0.46,0.43,0.65,0.60,1.20,[z],[z]
16-Jul-21,Fri,0.98,1.08,1.04,1.01,0.46,0.46,0.68,0.59,1.01,[z],[z]
17-Jul-21,Sat,1.04,1.19,1.16,1.07,0.46,0.54,0.72,0.64,1.54,[z],[z]
18-Jul-21,Sun,1.09,1.30,1.27,1.14,0.46,0.51,0.68,0.74,1.45,[z],[z]
19-Jul-21,Mon,0.95,1.09,1.07,0.99,0.47,0.40,0.66,0.55,0.95,[z],[z]
20-Jul-21,Tue,0.91,1.05,1.05,0.95,0.47,0.41,0.65,0.57,0.89,[z],[z]
21-Jul-21,Wed,0.92,1.06,1.05,0.96,0.48,0.43,0.68,0.54,1.11,[z],[z]
22-Jul-21,Thu,0.93,1.05,1.05,0.97,0.49,0.48,0.71,0.54,1.18,[z],[z]
23-Jul-21,Fri,0.97,1.06,1.02,1.00,0.48,0.47,0.70,0.55,0.95,[z],[z]
24-Jul-21,Sat,1.02,1.18,1.15,1.05,0.48,0.55,0.71,0.62,1.11,[z],[z]
25-Jul-21,Sun,1.07,1.28,1.27,1.11,0.48,0.50,0.64,0.72,1.06,[z],[z]
26-Jul-21,Mon,0.94,1.08,1.04,0.98,0.48,0.41,0.63,0.55,0.96,[z],[z]
27-Jul-21,Tue,0.89,1.03,1.04,0.92,0.49,0.44,0.66,0.55,0.71,[z],[z]
28-Jul-21,Wed,0.89,1.04,1.04,0.93,0.51,0.45,0.62,0.52,0.78,[z],[z]
29-Jul-21,Thu,0.92,1.03,1.03,0.95,0.52,0.49,0.67,0.55,1.08,[z],[z]
30-Jul-21,Fri,0.94,1.04,1.01,0.97,0.54,0.49,0.65,0.52,0.56,[z],[z]
31-Jul-21,Sat,1.05,1.20,1.17,1.08,0.55,0.55,0.74,0.66,1.19,[z],[z]
01-Aug-21,Sun,1.09,1.30,1.28,1.13,0.55,0.53,0.73,0.75,1.14,[z],[z]
02-Aug-21,Mon,0.95,1.07,1.04,0.98,0.56,0.44,0.66,0.55,0.88,[z],[z]
03-Aug-21,Tue,0.92,1.05,1.03,0.96,0.57,0.45,0.65,0.59,0.85,[z],[z]
04-Aug-21,Wed,0.93,1.04,1.04,0.96,0.55,0.46,0.67,0.56,1.16,[z],[z]
05-Aug-21,Thu,0.91,1.02,1.02,0.94,0.55,0.45,0.66,0.54,0.83,[z],[z]
06-Aug-21,Fri,0.95,1.05,1.00,0.97,0.54,0.47,0.68,0.53,0.59,[z],[z]
07-Aug-21,Sat,1.02,1.18,1.14,1.05,0.54,0.59,0.69,0.64,0.87,[z],[z]
08-Aug-21,Sun,1.05,1.26,1.25,1.09,0.53,0.58,0.66,0.71,0.75,[z],[z]
09-Aug-21,Mon,0.94,1.08,1.04,0.98,0.53,0.43,0.68,0.55,0.67,[z],[z]
10-Aug-21,Tue,0.94,1.06,1.03,0.97,0.53,0.47,0.69,0.60,0.94,[z],[z]
11-Aug-21,Wed,0.93,1.05,1.03,0.96,0.53,0.49,0.73,0.56,1.00,[z],[z]
12-Aug-21,Thu,0.95,1.05,1.02,0.97,0.53,0.47,0.67,0.59,1.06,[z],[z]
13-Aug-21,Fri,0.96,1.06,1.00,0.99,0.54,0.51,0.71,0.58,0.80,[z],[z]
14-Aug-21,Sat,1.06,1.21,1.16,1.09,0.56,0.64,0.75,0.70,1.31,[z],[z]
15-Aug-21,Sun,1.11,1.32,1.28,1.15,0.56,0.64,0.77,0.79,1.28,[z],[z]
16-Aug-21,Mon,0.96,1.09,1.04,0.99,0.57,0.47,0.67,0.57,0.79,[z],[z]
17-Aug-21,Tue,0.91,1.05,1.04,0.95,0.57,0.48,0.66,0.59,0.70,[z],[z]
18-Aug-21,Wed,0.93,1.06,1.05,0.96,0.57,0.50,0.68,0.57,0.92,[z],[z]
19-Aug-21,Thu,0.93,1.04,1.03,0.96,0.57,0.51,0.66,0.58,1.00,[z],[z]
20-Aug-21,Fri,0.97,1.06,1.01,0.99,0.55,0.54,0.69,0.59,0.87,[z],[z]
21-Aug-21,Sat,1.03,1.21,1.17,1.06,0.55,0.58,0.74,0.64,0.81,[z],[z]
22-Aug-21,Sun,1.10,1.32,1.29,1.14,0.56,0.62,0.76,0.77,1.68,[z],[z]
23-Aug-21,Mon,0.96,1.08,1.05,0.99,0.56,0.48,0.68,0.58,0.89,[z],[z]
24-Aug-21,Tue,0.94,1.05,1.05,0.97,0.56,0.54,0.71,0.61,0.88,[z],[z]
25-Aug-21,Wed,0.94,1.06,1.05,0.97,0.58,0.53,0.69,0.59,1.12,[z],[z]
26-Aug-21,Thu,0.95,1.05,1.05,0.98,0.59,0.53,0.68,0.59,1.11,[z],[z]
27-Aug-21,Fri,0.98,1.06,1.01,1.00,0.61,0.55,0.69,0.60,0.87,[z],[z]
28-Aug-21,Sat,1.06,1.20,1.16,1.09,0.62,0.73,0.78,0.74,1.32,[z],[z]
29-Aug-21,Sun,1.08,1.27,1.16,1.12,0.61,0.69,0.76,0.85,1.23,[z],[z]
30-Aug-21,Mon (BH),0.88,0.79,0.49,0.84,0.64,0.65,0.77,,0.77,[z],[note 8]
31-Aug-21,Tue,0.94,1.08,1.03,0.97,0.64,0.49,0.65,0.62,0.74,[z],[z]
01-Sep-21,Wed,0.92,1.06,1.07,0.96,0.61,0.53,0.62,0.59,0.95,[r] tfl bus,[z]
02-Sep-21,Thu,0.92,1.04,1.05,0.95,0.62,0.53,0.65,0.62,1.03,"[r] tfl tube, tfl bus",[z]
03-Sep-21,Fri,0.97,1.07,1.04,1.00,0.62,0.54,0.69,0.63,0.90,"[r] tfl tube, tfl bus",[z]
04-Sep-21,Sat,1.04,1.22,1.22,1.08,0.62,0.65,0.77,0.71,1.37,"[r] tfl tube, tfl bus",[z]
05-Sep-21,Sun,1.11,1.33,1.33,1.16,0.62,0.72,0.78,0.80,1.60,"[r] tfl tube, tfl bus",[z]
06-Sep-21,Mon,0.96,1.10,1.09,1.00,0.61,0.50,0.71,0.69,0.98,"[r] tfl tube, tfl bus",[z]
07-Sep-21,Tue,0.94,1.09,1.07,0.99,0.61,0.51,0.70,0.74,1.00,"[r] tfl tube, tfl bus",[z]
08-Sep-21,Wed,0.94,1.08,1.08,0.98,0.62,0.52,0.71,0.70,1.17,"[r] tfl tube, tfl bus",[z]
09-Sep-21,Thu,0.92,1.07,1.06,0.96,0.61,0.53,0.70,0.71,0.96,"[r] tfl tube, tfl bus",[z]
10-Sep-21,Fri,0.99,1.10,1.05,1.01,0.61,0.53,0.70,0.72,0.82,"[r] tfl tube, tfl bus",[z]
11-Sep-21,Sat,1.07,1.25,1.20,1.11,0.62,0.65,0.75,0.73,1.37,"[r] tfl tube, tfl bus",[z]
12-Sep-21,Sun,1.10,1.35,1.32,1.15,0.62,0.60,0.74,0.80,1.53,"[r] tfl tube, tfl bus",[z]
13-Sep-21,Mon,0.96,1.12,1.09,1.00,0.62,0.50,0.71,0.74,0.93,"[r] tfl tube, tfl bus",[z]
14-Sep-21,Tue,0.92,1.08,1.07,0.96,0.62,0.52,0.67,0.75,0.57,"[r] tfl tube, tfl bus",[z]
15-Sep-21,Wed,0.94,1.10,1.08,0.98,0.61,0.54,0.71,0.75,1.11,"[r] tfl tube, tfl bus",[z]
16-Sep-21,Thu,0.95,1.08,1.07,0.98,0.61,0.54,0.72,0.77,1.20,[r] tfl tube,[z]
17-Sep-21,Fri,1.00,1.11,1.06,1.02,0.59,0.54,0.72,0.75,0.92,[r] tfl tube,[z]
18-Sep-21,Sat,1.07,1.25,1.19,1.11,0.59,0.67,0.76,0.75,1.30,"[r] tfl tube, tfl bus",[z]
19-Sep-21,Sun,1.09,1.35,1.35,1.14,0.59,0.64,0.78,0.82,1.26,"[r] tfl tube, tfl bus",[z]
20-Sep-21,Mon,0.97,1.13,1.10,1.01,0.59,0.52,0.71,0.77,0.97,[z],[z]
21-Sep-21,Tue,0.94,1.10,1.09,0.98,0.59,0.55,0.73,0.80,0.93,[r] tfl bus,[z]
22-Sep-21,Wed,0.94,1.10,1.09,0.98,0.62,0.58,0.72,0.75,1.05,[r] tfl tube,[z]
23-Sep-21,Thu,0.94,1.09,1.09,0.98,0.62,0.57,0.72,0.77,1.05,[r] tfl tube,[z]
24-Sep-21,Fri,1.00,1.10,1.06,1.02,0.65,0.58,0.74,0.75,0.95,[r] tfl tube,[z]
25-Sep-21,Sat,1.02,1.20,1.18,1.06,0.66,0.75,0.78,0.78,1.28,"[r] tfl tube, tfl bus",[z]
26-Sep-21,Sun,1.05,1.29,1.32,1.10,0.66,0.79,0.83,0.89,1.37,"[r] tfl tube, tfl bus",[z]
27-Sep-21,Mon,0.91,1.06,1.07,0.95,0.66,0.55,0.71,0.75,0.71,[r] tfl bus,[z]
28-Sep-21,Tue,0.86,1.03,1.07,0.91,0.67,0.57,0.74,0.81,0.64,"[r] tfl tube, tfl bus",[z]
29-Sep-21,Wed,0.88,1.06,1.07,0.93,0.65,0.58,0.74,0.80,1.06,[r] tfl tube,[z]
30-Sep-21,Thu,0.88,1.04,1.07,0.92,0.66,0.59,0.74,0.77,0.86,[r] tfl tube,[z]
01-Oct-21,Fri,0.93,1.06,1.05,0.96,0.66,0.57,0.74,0.78,0.76,"[r] tfl tube, tfl bus",[z]
02-Oct-21,Sat,0.94,1.14,1.16,0.98,0.65,0.68,0.72,0.70,0.73,"[r] tfl tube, tfl bus",[z]
03-Oct-21,Sun,1.00,1.24,1.27,1.04,0.65,0.83,0.78,0.88,1.07,"[r] tfl tube, tfl bus",[z]
04-Oct-21,Mon,0.91,1.09,1.09,0.96,0.65,0.53,0.73,0.80,0.84,"[r] tfl tube, tfl bus",[z]
05-Oct-21,Tue,0.88,1.07,1.08,0.93,0.65,0.56,0.74,0.80,0.64,[r] tfl tube,[z]
06-Oct-21,Wed,0.90,1.07,1.08,0.95,0.64,0.58,0.75,0.79,1.03,[r] tfl bus,[z]
07-Oct-21,Thu,0.91,1.06,1.08,0.95,0.64,0.58,0.74,0.80,1.12,[r] tfl bus,[z]
08-Oct-21,Fri,0.95,1.07,1.06,0.98,0.64,0.57,0.77,0.79,0.89,"[r] tfl tube, tfl bus",[z]
09-Oct-21,Sat,1.02,1.22,1.20,1.06,0.64,0.73,0.83,0.79,1.26,"[r] tfl tube, tfl bus",[z]
10-Oct-21,Sun,1.06,1.30,1.27,1.11,0.63,0.71,0.80,0.87,1.25,"[r] tfl tube, tfl bus",[z]
11-Oct-21,Mon,0.94,1.11,1.10,0.98,0.63,0.54,0.75,0.80,0.83,[r] tfl bus,[z]
12-Oct-21,Tue,0.91,1.08,1.09,0.96,0.63,0.59,0.73,0.82,0.75,[r] tfl bus,[z]
13-Oct-21,Wed,0.91,1.09,1.10,0.96,0.61,0.59,0.74,0.78,0.96,[r] tfl bus,[z]
14-Oct-21,Thu,0.92,1.07,1.08,0.96,0.62,0.61,0.75,0.80,1.01,[r] tfl tube,[z]
15-Oct-21,Fri,0.97,1.09,1.06,1.00,0.59,0.60,0.77,0.79,0.83,[r] tfl tube,[z]
16-Oct-21,Sat,1.01,1.21,1.17,1.05,0.60,0.70,0.79,0.78,1.13,[r] tfl tube,[z]
17-Oct-21,Sun,1.03,1.26,1.25,1.07,0.60,0.74,0.78,0.86,0.97,[r] tfl tube,[z]
18-Oct-21,Mon,0.91,1.10,1.09,0.96,0.60,0.57,0.84,0.76,0.74,"[r] tfl tube, tfl bus",[z]
19-Oct-21,Tue,0.89,1.07,1.07,0.93,0.60,0.60,0.82,0.79,0.62,"[r] tfl tube, tfl bus",[z]
20-Oct-21,Wed,0.89,1.06,1.07,0.93,0.63,0.62,0.84,0.75,0.76,"[r] tfl tube, tfl bus",[z]
21-Oct-21,Thu,0.91,1.06,1.06,0.95,0.63,0.63,0.88,0.78,1.02,"[r] tfl tube, tfl bus",[z]
22-Oct-21,Fri,0.95,1.08,1.05,0.98,0.66,0.61,0.82,0.73,0.77,[r] tfl bus,[z]
23-Oct-21,Sat,1.02,1.22,1.18,1.06,0.65,0.75,0.83,0.76,1.03,"[r] tfl tube, tfl bus",[z]
24-Oct-21,Sun,1.02,1.25,1.23,1.06,0.65,0.67,0.77,0.83,0.91,"[r] tfl tube, tfl bus",[z]
25-Oct-21,Mon,0.92,1.08,1.06,0.96,0.65,0.56,0.66,0.66,0.76,"[r] tfl tube, tfl bus",[z]
26-Oct-21,Tue,0.89,1.05,1.05,0.93,0.66,0.61,0.66,0.68,0.70,"[r] tfl tube, tfl bus",[z]
27-Oct-21,Wed,0.90,1.05,1.06,0.94,0.64,0.61,0.66,0.64,0.77,"[r] tfl tube, tfl bus",[z]
28-Oct-21,Thu,0.90,1.03,1.03,0.93,0.64,0.63,0.66,0.66,0.79,"[r] tfl tube, tfl bus",[z]
29-Oct-21,Fri,0.92,1.04,1.02,0.95,0.64,0.61,0.68,0.64,0.54,"[r] tfl tube, tfl bus",[z]
30-Oct-21,Sat,1.00,1.19,1.16,1.04,0.65,0.80,0.86,0.75,0.84,"[r] tfl tube, tfl bus",[z]
31-Oct-21,Sun,1.00,1.24,1.20,1.04,0.64,0.68,0.78,0.80,0.55,"[r] tfl tube, tfl bus",[z]
01-Nov-21,Mon,0.91,1.10,1.09,0.96,0.64,0.57,0.72,0.75,0.63,"[r] tfl tube, tfl bus",[z]
02-Nov-21,Tue,0.90,1.10,1.06,0.95,0.64,0.61,0.73,0.83,0.72,"[r] tfl tube, tfl bus",[z]
03-Nov-21,Wed,0.90,1.10,1.07,0.95,0.64,0.62,0.73,0.78,0.90,"[r] tfl tube, tfl bus",[z]
04-Nov-21,Thu,0.91,1.09,1.07,0.96,0.64,0.63,0.74,0.80,1.01,[z],[z]
05-Nov-21,Fri,0.94,1.08,1.05,0.98,0.64,0.62,0.76,0.79,0.82,"[r] tfl tube, tfl bus",[z]
06-Nov-21,Sat,0.97,1.17,1.13,1.00,0.64,0.76,0.85,0.74,0.98,[r] tfl tube,[z]
07-Nov-21,Sun,1.02,1.25,1.24,1.06,0.65,0.75,0.82,0.86,1.02,"[r] tfl tube, tfl bus",[z]
08-Nov-21,Mon,0.92,1.11,1.10,0.96,0.65,0.56,0.74,0.79,0.85,[r] tfl tube,[z]
09-Nov-21,Tue,0.90,1.09,1.09,0.95,0.65,0.60,0.76,0.84,0.79,"[r] tfl tube, tfl bus",[z]
10-Nov-21,Wed,0.90,1.09,1.09,0.95,0.63,0.61,0.74,0.79,0.94,"[r] tfl tube, tfl bus",[z]
11-Nov-21,Thu,0.90,1.07,1.07,0.95,0.63,0.61,0.76,0.81,1.04,[r] tfl tube,[z]
12-Nov-21,Fri,0.93,1.08,1.06,0.97,0.60,0.62,0.78,0.78,0.63,"[r] tfl tube, tfl bus",[z]
13-Nov-21,Sat,0.99,1.18,1.15,1.02,0.60,0.82,0.80,0.80,1.18,"[r] tfl tube, tfl bus",[z]
14-Nov-21,Sun,1.01,1.25,1.22,1.05,0.60,0.77,0.77,0.85,1.10,"[r] tfl tube, tfl bus",[z]
15-Nov-21,Mon,0.91,1.12,1.11,0.96,0.61,0.57,0.74,0.80,0.79,[r] tfl tube,[z]
16-Nov-21,Tue,0.90,1.10,1.09,0.95,0.61,0.61,0.77,0.83,0.72,[r] tfl tube,[z]
17-Nov-21,Wed,0.90,1.10,1.09,0.95,0.64,0.62,0.76,0.79,0.93,[r] tfl bus,[z]
18-Nov-21,Thu,0.90,1.08,1.08,0.94,0.64,0.63,0.77,0.81,1.05,"[r] tfl tube, tfl bus",[z]
19-Nov-21,Fri,0.93,1.08,1.06,0.97,0.69,0.62,0.77,0.80,0.78,"[r] tfl tube, tfl bus",[z]
20-Nov-21,Sat,0.98,1.19,1.17,1.02,0.69,0.75,0.82,0.80,1.08,"[r] tfl tube, tfl bus",[z]
21-Nov-21,Sun,1.02,1.28,1.25,1.07,0.70,0.76,0.81,0.88,0.92,"[r] tfl tube, tfl bus",[z]
22-Nov-21,Mon,0.92,1.12,1.11,0.97,0.70,0.57,0.75,0.80,0.76,[r] tfl tube,[z]
23-Nov-21,Tue,0.91,1.10,1.09,0.95,0.70,0.61,0.76,0.84,0.71,[r] tfl tube,[z]
24-Nov-21,Wed,0.90,1.10,1.10,0.95,0.67,0.62,0.75,0.79,0.87,[r] tfl tube,[z]
25-Nov-21,Thu,0.92,1.09,1.09,0.96,0.67,0.63,0.76,0.82,0.87,"[r] tfl tube, tfl bus",[z]
26-Nov-21,Fri,0.93,1.09,1.07,0.97,0.67,0.45,0.80,0.77,0.58,"[r] tfl tube, tfl bus",[z]
27-Nov-21,Sat,0.89,1.13,1.14,0.93,0.65,0.72,0.76,0.67,0.47,"[r] tfl tube, tfl bus",[note 10]
28-Nov-21,Sun,0.95,1.23,1.27,1.00,0.65,0.76,0.78,0.83,0.72,"[r] tfl tube, tfl bus",[z]
29-Nov-21,Mon,0.89,1.11,1.10,0.94,0.64,0.57,0.73,0.75,0.87,"[r] tfl tube, tfl bus",[z]
30-Nov-21,Tue,0.90,1.12,1.10,0.95,0.64,0.59,0.75,0.83,0.69,[r] tfl tube,[z]
